name,region,country,lat,lon
New York City,New York,USA,40.730610,-73.935242
Buffalo,New York,USA,42.8864468,-78.8783689
Philadelphia,Pennsylvania,USA,39.952583,-75.165222
Pittsburgh,Pennsylvania,USA,40.4406248,-79.9958864
Gettysburg,Pennsylvania,USA,39.8309293,-77.2310955
Princeton,New Jersey,USA,40.344551,-74.654682
San Francisco,California,USA,37.773972,-122.431297
Honolulu,Hawaii,USA,21.315603,-157.858093
Wailea,Hawaii,USA,20.6866667,-156.4461111
Juneau,Alaska,USA,58.3019444,-134.4197221
Ketchikan,Alaska,USA,55.34225,-131.64784
San Diego,California,USA,32.7157380,-117.1610838
Napa,California,USA,38.4274315,-122.3943299
Mountain View,California,USA,37.432785,-122.091743
Berkeley,California,USA,37.871853,-122.258423
Marathon,Florida,USA,24.7260260,-81.0446262
Jacksonville,Florida,USA,30.332184,-81.655647
Orlando,Florida,USA,28.53834,-81.37924
Miami,Florida,USA,25.778135,-80.179100
Cleveland,Ohio,USA,41.499495,-81.695409
Cincinnati,Ohio,USA,39.096306,-84.516846
New Haven,Connecticut,USA,41.310726,-72.929916
New London,Connecticut,USA,41.355423,-72.102760
Providence,Rhode Island,USA,41.826820,-71.402931
Atlantic City,New Jersey,USA,39.364283,-74.422927
Newark,Delaware,USA,39.683723,-75.749657
Baltimore,Maryland,USA,39.2903848,-76.6121893
Annapolis,Maryland,USA,38.9784453,-76.4921829
Montauk,New	York,USA,41.0359353,-71.9545146
Lake Placid,New York,USA,44.2794911,-73.9798713
Ithaca,New York,USA,42.4406284,-76.4966071
Garden City,New York,USA,40.728657,-73.631744
Fairfax,Virginia,USA,38.8462236,-77.3063733
Killington,Vermont,USA,43.6775677,-72.7798247
Breckenridge,Colorado,USA,39.4816537,-106.0383518
Phoenix,Arizona,USA,33.448376,-112.074036
Vancouver,British Columbia,Canada,49.24966,-123.11934
Niagra,Ontario,Canada,43.0895577,-79.0849436
Mont-Tremblant,Quebec,Canada,46.118462,-74.596185
Boston,Massachusetts,USA,42.3600825,-71.0588801
Butternut,Massachusetts,USA,42.17806,-73.31694
Worcester,Massachusetts,USA,42.407211,-71.382439
Corolla,North Carolina,USA,36.3802879,-75.8307777
Chicago,Illinois,USA,41.8781136,-87.6297982
Austin,Texas,USA,30.2671530,-97.7430608
Washington,D.C.,USA,38.9001118,-77.0163653
Beijing,Beijing Shi,China,39.913818,116.363625
Shanghai,Shanghai Shi,China,31.267401,121.522179
Jinan,Shandong,China,36.651200,117.120095
Qufu,Shandong,China,35.580996,116.986503
Hangzhou,Zhejiang,China,30.274084,120.15507
Shenzhen,Guangdong,China,22.543096,114.057865
Guangzhou,Guangdong,China,23.129110,113.264385
Chengdu,Sichuan,China,30.572815,104.066801
Leshan,Sichuan,China,29.552115,103.765678
Emeishan,Sichuan,China,29.516007,103.334737
Suzhou,Jiangsu,China,31.139071,120.645134
Nanjing,Jiangsu,China,32.060255,118.796877
Kaifeng,Henan,China,34.797281,114.307582
Luoyang,Henan,China,34.620202,112.453926
Xi'an,Shaanxi,China,34.341568,108.940178
Lanzhou,Gansu,China,36.061089,103.834304
Jiayuguan,Gansu,China,39.803695,98.224191
Dunhuang,Gansu,China,40.142128,94.661966
Turpan,Xinjiang,China,42.951303,89.189752
Urumqi,Xinjiang,China,43.825592,87.616852
Kashgar,Xinjiang,China,39.472704,75.987870
Lake Kurakul,Xinjiang,China,38.440325,75.059098 
Hong Kong,Hong Kong SAR,China,22.286394,114.149139
Seoul,Seoul,South Korea,37.566535,126.977969
Danang,Da Nang,Vietnam,16.054406,108.202166
Hue,Thua Thien-hue,Vietnam,16.453478,107.576923
Hoi An,Quang Nam,Vietnam,15.880058,108.338047
Bangkok,Bangkok,Thailand,13.7563309,100.5017651
Chiangmai,Chiangmai,Thailand,18.7060641,98.9817163
Phuket,Phuket,Thailand,7.9519331,98.3380884
Ko Phi Phi,Phuket,Thailand,7.73990,98.77223
Siem Reap,Siem Reap Province,Cambodia,13.3670968,103.8448134
Phnom Penh,Phnom Penh,Cambodia,11.5448729,104.8921668
Yangon,Yangon,Myanmar (Burma),16.8660694,96.1951320
Bagan,Mandalay Region,Myanmar (Burma),21.1717271,94.8585458
Inle Lake,Inle,Myanmar (Burma),20.5862914,96.9101806
Mandalay,Mandalay Region,Myanmar (Burma),21.9588282,96.0891032
London,London,UK,51.5073509,-0.1277583
Henley-on-Thames,Oxfordshire,UK,51.53333,-0.9
Dublin,County Dublin,Ireland,53.3498053,-6.2603097
Waterford,County Waterford,Ireland,52.25932,-7.11007
Cork,County Cork,Ireland,51.706051,-8.522501
Cliffs of Moher,County Clare,Ireland,52.971537,-9.430883
Amsterdam,North Holland,Netherlands,52.3702157,4.8951679
Prague,Prague,Czech Republic,50.0755381,14.437800
Paris,Ile-de-France,France,48.8566140,2.3522219
Brive-la-Gaillarde,Correze,France,45.159555,1.533937
Rome,Lazio,Italy,41.9027835,12.4963655
Assisi,Umbria,Italy,43.0707,12.6196
Vatican City,Rome,Italy,41.9021788,12.4536007
Barcelona,Catalonia,Spain,41.3850639,2.1734035
Tel Aviv,Tel Aviv-Yafo,Israel,32.0852999,34.7817676
Doha,Doha,Qatar,25.2854473,51.5310398
Saint George,Bermuda,Bermuda,32.382839,-64.675912
Oranjestad,Aruba,Aruba,12.510052,-70.009354
